from,to,type,confidence,reason,step,staticGated
"Function:src/normalizers/anime.normalizer.js:normalizeAnilistMediaCard","Function:src/normalizers/anime.normalizer.js:displayTitleFromRaw","CALLS",0.85,"local-call",0,0
"Function:src/normalizers/anime.normalizer.js:normalizeAnilistMediaCard","Function:src/normalizers/anime.normalizer.js:str","CALLS",0.85,"local-call",0,0
"Function:src/normalizers/anime.normalizer.js:normalizeAnilistMediaCard","Function:src/normalizers/anime.normalizer.js:positiveInt","CALLS",0.85,"local-call",0,0
"Function:src/normalizers/anime.normalizer.js:normalizeAnilistPage","Function:src/normalizers/anime.normalizer.js:intOrNull","CALLS",0.85,"local-call",0,0
"Function:src/normalizers/anime.normalizer.js:normalizeAnilistPage","Function:src/normalizers/anime.normalizer.js:normalizeAnilistMediaCard","CALLS",0.85,"local-call",0,0
"Function:src/normalizers/anime.normalizer.js:normalizeAnilistRecommendations","Function:src/normalizers/anime.normalizer.js:normalizeAnilistMediaCard","CALLS",0.85,"local-call",0,0
"Function:src/normalizers/anime.normalizer.js:normalizeAnilistRecommendations","Function:src/normalizers/anime.normalizer.js:numberOrNull","CALLS",0.85,"local-call",0,0
"Function:src/normalizers/anime.normalizer.js:normalizeAnilistAiringSchedule","Function:src/normalizers/anime.normalizer.js:intOrNull","CALLS",0.85,"local-call",0,0
"Function:src/normalizers/anime.normalizer.js:normalizeAnilistAiringSchedule","Function:src/identity/id-types.js:normalizeId","CALLS",0.85,"import-resolved",0,0
"Function:src/normalizers/anime.normalizer.js:normalizeAnilistAiringSchedule","Function:src/normalizers/anime.normalizer.js:positiveInt","CALLS",0.85,"local-call",0,0
"Function:src/normalizers/anime.normalizer.js:normalizeAnilistAiringSchedule","Function:src/normalizers/anime.normalizer.js:displayTitleFromRaw","CALLS",0.85,"local-call",0,0
"Function:src/normalizers/anime.normalizer.js:createBaseAnime","Function:src/identity/id-types.js:createAnimeIdentity","CALLS",0.85,"import-resolved",0,0
"Function:src/normalizers/anime.normalizer.js:normalizeAnilistAnime","Function:src/identity/id-types.js:normalizeId","CALLS",0.85,"import-resolved",0,0
"Function:src/normalizers/anime.normalizer.js:normalizeAnilistAnime","Function:src/identity/id-types.js:createAnimeIdentity","CALLS",0.85,"import-resolved",0,0
"Function:src/normalizers/anime.normalizer.js:normalizeAnilistAnime","Function:src/normalizers/anime.normalizer.js:normalizeAnilistTitle","CALLS",0.85,"local-call",0,0
"Function:src/normalizers/anime.normalizer.js:normalizeAnilistAnime","Function:src/utils/html.js:cleanDescription","CALLS",0.85,"import-resolved",0,0
"Function:src/normalizers/anime.normalizer.js:normalizeAnilistAnime","Function:src/normalizers/anime.normalizer.js:normalizeAnilistImages","CALLS",0.85,"local-call",0,0
