from,to,type,confidence,reason,step,staticGated
"Function:src/normalizers/anime.normalizer.js:normalizeJikanPage","comm_14","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/anime.normalizer.js:normalizeJikanTrailer","comm_14","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/anime.normalizer.js:numberOrNull","comm_14","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/anime.normalizer.js:positiveInt","comm_14","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/anime.normalizer.js:str","comm_14","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/anime.normalizer.js:strArray","comm_14","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/megaplay-normalizer.js:asHttpUrl","comm_18","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/megaplay-normalizer.js:collectSources","comm_18","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/megaplay-normalizer.js:collectSources.push@123:2","comm_18","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/megaplay-normalizer.js:episodeOf","comm_19","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/megaplay-normalizer.js:expiryOf","comm_18","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/megaplay-normalizer.js:extractSource","comm_18","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/megaplay-normalizer.js:firstString","comm_18","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/megaplay-normalizer.js:isExplicitNoStream","comm_19","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/megaplay-normalizer.js:isHtml","comm_19","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/megaplay-normalizer.js:isUsableStreamResult","comm_20","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/megaplay-normalizer.js:noStream","comm_19","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/megaplay-normalizer.js:normalizeMegaplayStreamResponse","comm_19","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/tmdb.matching.js:extractKnownTitles","comm_21","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/tmdb.matching.js:normalizeTitleForComparison","comm_21","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/tmdb.matching.js:selectBestMatch","comm_21","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/tmdb.normalizer.js:createUnresolvedTmdbVisual","comm_22","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/tmdb.normalizer.js:extractYear","comm_22","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/tmdb.normalizer.js:normalizeTmdbCandidate","comm_22","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/tmdb.normalizer.js:normalizeTmdbCandidates","comm_21","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/tmdb.normalizer.js:normalizeTmdbDetails","comm_22","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/tmdb.normalizer.js:normalizeTmdbVisual","comm_21","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/tmdb.normalizer.js:numberOrNull","comm_22","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/tmdb.normalizer.js:str","comm_22","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/providers/http-client.js:httpRequest","comm_3","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/providers/http-client.js:parseBody","comm_3","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/providers/jikan/jikan.queries.js:animeEpisodesPath","comm_23","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/providers/jikan/jikan.queries.js:animeFullPath","comm_13","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/providers/jikan/jikan.queries.js:animePath","comm_13","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/providers/jikan/jikan.queries.js:animeSearchPath","comm_23","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/providers/megaplay/megaplay.queries.js:buildAniListStreamUrl","comm_24","MEMBER_OF",1,"leiden-algorithm",0,0
